matricula,email,delegacion,grupo
99202207,test@pruebas.com,20,5
991437120,test@pruebas.com,14,5
98207702,test@pruebas.com,20,5
98310193,test@pruebas.com,31,5
99138023,test@pruebas.com,13,5
98262125,test@pruebas.com,21,5
98053409,test@pruebas.com,5,5
99354185,test@pruebas.com,15,5
99255528,test@pruebas.com,25,5
98203691,test@pruebas.com,20,5
98388148,test@pruebas.com,38,5
99341930,test@pruebas.com,34,5
99280190,test@pruebas.com,28,5
8669082,test@pruebas.com,35,5
98274828,test@pruebas.com,27,5
98208046,test@pruebas.com,20,5
10931376,test@pruebas.com,38,5
11321113,test@pruebas.com,11,5
11596554,test@pruebas.com,32,5
11532556,test@pruebas.com,25,5
99344192,test@pruebas.com,34,5
99144851,test@pruebas.com,14,5
99337968,test@pruebas.com,33,5
11623268,test@pruebas.com,7,5
99369042,test@pruebas.com,36,5
99124343,test@pruebas.com,15,5
99168014,test@pruebas.com,16,5
99062107,test@pruebas.com,6,5
99154468,test@pruebas.com,15,5
9292144,test@pruebas.com,19,5
98054187,test@pruebas.com,5,5
311240084,test@pruebas.com,24,5
11057572,test@pruebas.com,25,5
98296783,test@pruebas.com,29,5
99113403,test@pruebas.com,11,5
98360774,test@pruebas.com,36,5
99323674,test@pruebas.com,27,5
98290031,test@pruebas.com,29,5
6297013,test@pruebas.com,29,5
11911247,test@pruebas.com,32,5
98081809,test@pruebas.com,5,5
9200878,test@pruebas.com,25,5
99182737,test@pruebas.com,18,5
11632925,test@pruebas.com,14,5
10465022,test@pruebas.com,14,5
98376985,test@pruebas.com,37,5
97201757,test@pruebas.com,20,5
97156913,test@pruebas.com,15,5
98173708,test@pruebas.com,17,5
99128521,test@pruebas.com,12,5
8530882,test@pruebas.com,15,5
99017002,test@pruebas.com,1,5
10000666,test@pruebas.com,25,5
8623481,test@pruebas.com,24,5
10428631,test@pruebas.com,32,5
97171952,test@pruebas.com,17,5
99318609,test@pruebas.com,31,5
9609709,test@pruebas.com,9,5
99293015,test@pruebas.com,29,5
991436430,test@pruebas.com,14,5
99255490,test@pruebas.com,25,5
10356622,test@pruebas.com,14,5
8409927,test@pruebas.com,6,5
99062561,test@pruebas.com,6,5
8677859,test@pruebas.com,35,5
99151377,test@pruebas.com,20,5
8786402,test@pruebas.com,5,5
99368803,test@pruebas.com,36,5
98152399,test@pruebas.com,15,5
98204675,test@pruebas.com,20,5
311090464,test@pruebas.com,9,5
11594403,test@pruebas.com,32,5
11131454,test@pruebas.com,11,5
9840265,test@pruebas.com,11,5
99176810,test@pruebas.com,17,5
99010076,test@pruebas.com,1,5
99298717,test@pruebas.com,29,5
99228815,test@pruebas.com,22,5
99042457,test@pruebas.com,4,5
991416224,test@pruebas.com,6,5
98272471,test@pruebas.com,27,5
98295720,test@pruebas.com,29,5
9006982,test@pruebas.com,27,5
99151848,test@pruebas.com,36,5
98290539,test@pruebas.com,29,5
99291116,test@pruebas.com,29,5
99021891,test@pruebas.com,2,5
12186791,test@pruebas.com,36,5
8627053,test@pruebas.com,24,5
311380043,test@pruebas.com,38,5
8330867,test@pruebas.com,10,5
991410611,test@pruebas.com,14,5
10057552,test@pruebas.com,11,5
99264830,test@pruebas.com,26,5
99277410,test@pruebas.com,27,5
6223745,test@pruebas.com,2,5
99072492,test@pruebas.com,7,5
98175716,test@pruebas.com,25,5
99140840,test@pruebas.com,14,5
98332205,test@pruebas.com,33,5
99363650,test@pruebas.com,36,5
11477415,test@pruebas.com,38,5
98175364,test@pruebas.com,17,5
11090847,test@pruebas.com,22,5
11426985,test@pruebas.com,33,5
991416949,test@pruebas.com,14,5
98311760,test@pruebas.com,31,5
98292501,test@pruebas.com,29,5
11451645,test@pruebas.com,27,5
99112727,test@pruebas.com,11,5
98229326,test@pruebas.com,22,5
99136735,test@pruebas.com,13,5
8499152,test@pruebas.com,34,5
11480394,test@pruebas.com,15,5
99070085,test@pruebas.com,7,5
98170836,test@pruebas.com,17,5
11379898,test@pruebas.com,25,5
99376691,test@pruebas.com,38,5
9046704,test@pruebas.com,10,5
991438540,test@pruebas.com,14,5
10402454,test@pruebas.com,17,5
99192899,test@pruebas.com,19,5
97160240,test@pruebas.com,16,5
99384192,test@pruebas.com,38,5
98118802,test@pruebas.com,11,5
8396663,test@pruebas.com,12,5
99137339,test@pruebas.com,13,5
9189998,test@pruebas.com,22,5
9324437,test@pruebas.com,7,5
98251800,test@pruebas.com,11,5
99182763,test@pruebas.com,18,5
99062576,test@pruebas.com,6,5
9677224,test@pruebas.com,23,5
98159756,test@pruebas.com,15,5
11874082,test@pruebas.com,35,5
98221101,test@pruebas.com,22,5
98153939,test@pruebas.com,15,5
97370653,test@pruebas.com,37,5
97203379,test@pruebas.com,20,5
99107574,test@pruebas.com,10,5
99195965,test@pruebas.com,19,5
6772188,test@pruebas.com,34,5
991430746,test@pruebas.com,14,5
99300027,test@pruebas.com,30,5
99280751,test@pruebas.com,28,5
311091580,test@pruebas.com,9,5
99233348,test@pruebas.com,23,5
98156225,test@pruebas.com,15,5
10414916,test@pruebas.com,27,5
9161376,test@pruebas.com,8,5
98354107,test@pruebas.com,35,5
98368168,test@pruebas.com,36,5
97171637,test@pruebas.com,17,5
99062115,test@pruebas.com,6,5
11556617,test@pruebas.com,8,5
11633379,test@pruebas.com,14,5
98112807,test@pruebas.com,11,5
98152762,test@pruebas.com,15,5
11912987,test@pruebas.com,32,5
99352870,test@pruebas.com,35,5
11810262,test@pruebas.com,33,5
9097422,test@pruebas.com,12,5
98075342,test@pruebas.com,7,5
99279231,test@pruebas.com,27,5
99071859,test@pruebas.com,7,5
8422516,test@pruebas.com,2,5
99274371,test@pruebas.com,27,5
10492984,test@pruebas.com,25,5
99011745,test@pruebas.com,1,5
11311924,test@pruebas.com,5,5
9719571,test@pruebas.com,13,5
11336773,test@pruebas.com,11,5
9083871,test@pruebas.com,14,5
99377926,test@pruebas.com,37,5
99122962,test@pruebas.com,12,5
98153123,test@pruebas.com,31,5
9852344,test@pruebas.com,7,5
98353192,test@pruebas.com,35,5
99011570,test@pruebas.com,1,5
98252533,test@pruebas.com,25,5
98376893,test@pruebas.com,38,5
9845755,test@pruebas.com,36,5
991423222,test@pruebas.com,14,5
10977333,test@pruebas.com,36,5
99218925,test@pruebas.com,21,5
99014207,test@pruebas.com,1,5
99319119,test@pruebas.com,31,5
10630414,test@pruebas.com,7,5
98375796,test@pruebas.com,37,5
99157830,test@pruebas.com,15,5
99137581,test@pruebas.com,13,5
98111835,test@pruebas.com,11,5
99387150,test@pruebas.com,38,5
98254902,test@pruebas.com,25,5
98380853,test@pruebas.com,38,5
99202522,test@pruebas.com,20,5
99135346,test@pruebas.com,13,5
98082381,test@pruebas.com,8,5
98318701,test@pruebas.com,31,5
10126821,test@pruebas.com,33,5
7531257,test@pruebas.com,27,5
311091607,test@pruebas.com,9,5
99296997,test@pruebas.com,29,5
10394265,test@pruebas.com,8,5
10634851,test@pruebas.com,33,5
